Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
232,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0
233,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0
234,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0
235,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0
236,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0
237,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,0,0,0,0
238,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,1,0,1,0
239,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,2,0,0,2
240,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Sub Total,3,1,1,2
241,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",AFFRAY (Sec. 160 IPC ),169,30,43,43
242,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)","ARSON (Sec. 435, 436, 438 IPC )",,,,
243,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Agricultural Produce,34,5,16,6
244,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attemp to Commit,0,0,0,0
245,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Boat / Ship,0,0,0,0
246,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Dwelling House,8,0,3,1
247,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Educational Institution,1,0,0,0
248,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Govt. Property,6,2,2,1
249,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Industrial Establishment,0,0,0,0
250,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Place of worship,0,0,0,0
251,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Public Place,3,0,0,1
252,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Railway Property,0,0,0,0
253,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Vital Installation,0,0,0,0
254,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Warehouse (Godown),2,0,1,1
255,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,57,14,16,13
256,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,0,0,0,0
257,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Contractor,1,0,0,0
258,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Domestic Servant,0,0,0,0
259,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Labourer,0,1,0,0
260,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (General),8,1,0,2
261,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (SC),1,0,0,0
262,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (ST),0,0,0,0
263,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Manager/Executive (Other Than Public Servant),0,0,0,0
264,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",0,0,0,0
265,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0
266,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Member of Parliament (MP),0,0,0,0
267,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On other Dignitaries /Public Figures,1,0,0,0
268,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Press,1,0,0,0
269,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Professional ,1,0,0,1
270,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Public Servant,0,0,0,0
271,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Student,0,0,0,0
272,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Teacher,0,0,0,0
273,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Women (General),2,1,1,0
274,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (SC),0,0,0,0
275,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (ST),0,0,0,0
276,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Attempt to Commit,0,0,0,0
277,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Caste Issue,9,1,2,2
278,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Communal Issue,39,3,6,7
279,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Linguistic Issue,0,1,0,0
280,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Political Issue,9,0,2,6
281,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Racial/Ethnic Issue,0,0,0,0
282,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Regional Issue,13,0,3,2
283,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Religious Issue,51,4,9,9
